Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min)
KOCRES010DEL02,36,5.0,10.035573,76.336958,10.165573,76.466958,Drinks ,motorcycle ,30
SURRES04DEL03,25,4.8,21.173493,72.801953,21.233493,72.861953,Snack ,scooter ,12
SURRES05DEL03,20,4.9,21.175104,72.804342,21.235104,72.864342,Meal ,electric_scooter ,10
INDORES04DEL01,37,4.7,22.753659,75.903365,22.823659,75.973365,Buffet ,scooter ,44
LUDHRES14DEL03,39,4.5,30.892978,75.821847,30.952978,75.881847,Buffet ,motorcycle ,15
KOLRES18DEL03,23,4.3,22.569367,88.433187,22.659367,88.523187,Drinks ,motorcycle ,35
AURGRES16DEL01,22,5.0,0.0,0.0,0.11,0.11,Buffet ,motorcycle ,43
CHENRES16DEL03,32,4.7,13.049645,80.242268,13.109645,80.302268,Drinks ,scooter ,26
COIMBRES06DEL01,32,4.7,11.021278,76.995017,11.031278,77.005017,Snack ,scooter ,29
PUNERES07DEL01,25,4.6,18.546947,73.900626,18.556947,73.910626,Snack ,motorcycle ,21
INDORES17DEL03,22,4.5,22.761226,75.887522,22.821226,75.947522,Drinks ,motorcycle ,26
RANCHIRES05DEL02,25,5.0,23.355164,85.324097,23.375164,85.344097,Snack ,motorcycle ,25
CHENRES15DEL02,36,4.8,13.026286,80.275235,13.106286,80.355235,Drinks ,motorcycle ,36
MUMRES04DEL01,26,4.6,19.254567,72.848923,19.264567,72.858923,Buffet ,scooter ,20
KOLRES010DEL01,26,4.6,22.538999,88.322337,22.608999,88.392336,Buffet ,motorcycle ,26
BANGRES04DEL01,25,4.3,12.98041,77.640489,13.02041,77.680489,Buffet ,motorcycle ,34
VADRES20DEL02,21,4.2,22.311358,73.164798,22.391358,73.244798,Buffet ,motorcycle ,35
PUNERES01DEL02,35,3.6,18.569156,73.774723,18.699156,73.904723,Snack ,scooter ,42
HYDRES05DEL02,21,4.8,17.433809,78.386744,17.453809,78.406744,Meal ,motorcycle ,12
RANCHIRES18DEL01,37,4.7,23.351489,85.324253,23.361489,85.334253,Drinks ,motorcycle ,15
GOARES19DEL01,25,4.5,0.0,0.0,0.01,0.01,Buffet ,scooter ,15
INDORES12DEL03,30,4.3,22.74806,75.8934,22.83806,75.9834,Buffet ,motorcycle ,33
COIMBRES04DEL02,23,4.2,11.024839,77.007003,11.154839,77.137003,Snack ,motorcycle ,35
COIMBRES05DEL03,21,4.8,11.022169,76.999594,11.082169,77.059594,Meal ,scooter ,13
KOCRES09DEL03,34,4.7,10.000706,76.349516,10.060706,76.409516,Snack ,motorcycle ,34
MYSRES03DEL03,25,5.0,12.299524,76.64262,12.389524,76.73262,Snack ,motorcycle ,39
VADRES09DEL03,26,5.0,0.0,0.0,0.03,0.03,Snack ,motorcycle ,24
MUMRES19DEL02,33,5.0,19.131141,72.813074,19.181141,72.863074,Buffet ,scooter ,26
MUMRES12DEL01,36,4.5,19.207222,72.972281,19.277222,73.042281,Buffet ,motorcycle ,48
KOLRES02DEL03,22,4.6,22.514585,88.39331,22.544585,88.42331,Drinks ,scooter ,27
MUMRES20DEL02,27,4.2,19.103249,72.846749,19.153249,72.896749,Drinks ,motorcycle ,53
INDORES04DEL02,38,4.2,22.753659,75.903365,22.803659,75.953365,Meal ,motorcycle ,33
PUNERES13DEL02,21,4.8,18.56245,73.916619,18.61245,73.966619,Drinks ,motorcycle ,29
CHENRES16DEL03,20,4.8,13.049645,80.242268,13.109645,80.302268,Buffet ,motorcycle ,25
CHENRES06DEL02,26,4.6,13.054347,80.257221,13.074347,80.277221,Drinks ,motorcycle ,19
CHENRES13DEL02,34,4.7,13.027018,80.254791,13.077018,80.304791,Drinks ,scooter ,32
JAPRES07DEL03,26,5.0,26.766536,75.837333,26.796536,75.867333,Meal ,motorcycle ,29
HYDRES07DEL01,23,4.5,17.424114,78.347554,17.494114,78.417554,Meal ,motorcycle ,18
KOLRES05DEL01,26,4.9,22.527893,88.368628,22.567893,88.408628,Buffet ,motorcycle ,11
MYSRES20DEL01,21,4.8,12.337978,76.616792,12.407978,76.686792,Drinks ,motorcycle ,35
RANCHIRES14DEL01,39,4.9,0.0,0.0,0.07,0.07,Snack ,motorcycle ,45
BHPRES06DEL02,36,4.8,23.232357,77.429989,23.312357,77.509989,Snack ,motorcycle ,39
HYDRES16DEL02,29,4.6,17.440827,78.393391,17.520827,78.473391,Meal ,motorcycle ,29
SURRES08DEL03,29,4.6,21.173343,72.792731,21.263343,72.882731,Snack ,electric_scooter ,24
AURGRES08DEL02,22,4.8,19.876428,75.364792,19.896428,75.384792,Snack ,scooter ,10
PUNERES02DEL01,28,4.8,18.55144,73.804855,18.56144,73.814855,Buffet ,scooter ,21
VADRES04DEL03,20,4.7,0.0,0.0,0.03,0.03,Buffet ,motorcycle ,17
VADRES07DEL01,31,4.6,0.0,0.0,0.04,0.04,Snack ,motorcycle ,21
MYSRES03DEL03,27,4.9,12.299524,76.64262,12.359524,76.70262,Buffet ,motorcycle ,26
CHENRES11DEL03,36,4.9,13.064181,80.236442,13.094181,80.266442,Buffet ,scooter ,30
CHENRES20DEL02,34,4.2,12.975996,80.221898,13.055996,80.301898,Snack ,scooter ,31
SURRES20DEL01,29,5.0,21.15276,72.778059,21.16276,72.788059,Buffet ,scooter ,16
VADRES11DEL01,27,4.9,22.308096,73.167753,22.378096,73.237753,Buffet ,motorcycle ,49
SURRES16DEL02,37,4.7,21.160437,72.774209,21.210437,72.824209,Meal ,motorcycle ,28
SURRES09DEL03,28,4.5,21.175975,72.795503,21.205975,72.825503,Drinks ,electric_scooter ,27
INDORES16DEL02,24,4.7,22.744648,75.894377,22.794648,75.944377,Buffet ,motorcycle ,22
JAPRES01DEL02,29,4.7,26.90519,75.810753,26.95519,75.860753,Buffet ,motorcycle ,23
MYSRES09DEL01,38,4.6,12.323194,76.630583,12.433194,76.740583,Meal ,motorcycle ,33
KOLRES010DEL01,38,5.0,22.538999,88.322337,22.548999,88.332337,Buffet ,motorcycle ,25
RANCHIRES08DEL01,29,4.6,23.353783,85.326967,23.463783,85.436967,Drinks ,motorcycle ,29
COIMBRES03DEL03,20,4.9,11.025083,77.015393,11.115083,77.105393,Buffet ,scooter ,10
JAPRES01DEL02,37,4.6,26.90519,75.810753,27.03519,75.940753,Buffet ,scooter ,26
SURRES010DEL01,24,4.3,21.17106,72.789292,21.18106,72.799292,Snack ,motorcycle ,26
HYDRES14DEL02,26,4.8,17.426228,78.407495,17.476228,78.457495,Buffet ,motorcycle ,21
COIMBRES010DEL01,23,4.9,11.003008,76.97544,11.113008,77.08544,Snack ,motorcycle ,27
PUNERES07DEL01,25,4.6,18.546947,73.900626,18.616947,73.970626,Drinks ,motorcycle ,16
LUDHRES05DEL01,39,4.7,30.905562,75.832841,31.015562,75.942841,Meal ,motorcycle ,37
HYDRES13DEL03,24,4.9,17.431477,78.40035,17.491477,78.46035,Snack ,motorcycle ,11
SURRES04DEL02,29,4.8,21.173493,72.801953,21.223493,72.851953,Meal ,electric_scooter ,11
SURRES010DEL02,20,4.9,21.17106,72.789292,21.25106,72.869292,Drinks ,scooter ,29
JAPRES08DEL03,29,4.6,26.910262,75.783013,26.970262,75.843013,Drinks ,motorcycle ,19
MYSRES15DEL02,35,4.3,12.352058,76.60665,12.432058,76.68665,Meal ,scooter ,37
JAPRES19DEL03,29,4.8,26.913726,75.75282,27.003726,75.842821,Drinks ,scooter ,19
PUNERES06DEL02,30,4.4,18.546258,73.904337,18.596258,73.954337,Meal ,scooter ,32
MYSRES18DEL02,38,4.8,12.337928,76.617889,12.357928,76.637889,Buffet ,scooter ,28
ALHRES03DEL01,29,4.6,25.451517,81.832616,25.561517,81.942616,Snack ,motorcycle ,42
PUNERES06DEL02,24,4.8,18.546258,73.904337,18.676258,74.034337,Meal ,motorcycle ,26
CHENRES06DEL02,24,4.7,13.054347,80.257221,13.134347,80.337221,Meal ,motorcycle ,18
AGRRES08DEL02,37,4.6,27.160934,78.044095,27.210934,78.094095,Buffet ,scooter ,33
CHENRES18DEL01,34,4.2,12.981615,80.231598,13.021615,80.271598,Drinks ,motorcycle ,37
PUNERES19DEL01,29,4.6,-18.563934,73.915367,18.573935,73.925367,Drinks ,motorcycle ,17
JAPRES16DEL01,35,4.7,26.849596,75.800512,26.859596,75.810512,Buffet ,scooter ,12
BANGRES07DEL03,22,4.8,12.978453,77.643685,13.008453,77.673685,Meal ,scooter ,17
CHENRES02DEL02,30,4.6,13.086438,80.220672,13.216439,80.350672,Meal ,scooter ,23
CHENRES13DEL02,22,4.8,13.027018,80.254791,13.047018,80.274791,Buffet ,scooter ,17
COIMBRES12DEL03,28,4.6,11.000762,76.981876,11.030762,77.011876,Snack ,motorcycle ,23
LUDHRES07DEL03,31,4.9,0.0,0.0,0.03,0.03,Drinks ,motorcycle ,20
COIMBRES19DEL01,25,5.0,11.022298,76.998349,11.032298,77.008349,Snack ,motorcycle ,12
HYDRES05DEL03,33,4.7,17.433809,78.386744,17.463809,78.416744,Meal ,motorcycle ,26
MUMRES09DEL02,24,4.8,18.994049,72.825203,19.074049,72.905203,Buffet ,motorcycle ,30
MYSRES06DEL02,29,4.6,12.323994,76.626167,12.403994,76.706167,Buffet ,scooter ,33
PUNERES07DEL03,35,4.2,18.546947,73.900626,18.576947,73.930626,Meal ,motorcycle ,42
AURGRES19DEL02,28,4.7,19.866969,75.318894,19.996969,75.448894,Snack ,electric_scooter ,37
LUDHRES05DEL03,23,4.8,30.905562,75.832841,30.935562,75.862841,Meal ,motorcycle ,16
HYDRES19DEL01,35,4.7,17.458998,78.500366,17.468998,78.510366,Drinks ,scooter ,18
MUMRES15DEL01,30,4.8,19.176269,72.836721,19.286269,72.946721,Meal ,motorcycle ,47
INDORES19DEL02,37,4.0,22.745536,75.893106,22.795536,75.943106,Drinks ,motorcycle ,31
KNPRES010DEL02,38,4.9,26.47775,80.351569,26.60775,80.481569,Snack ,electric_scooter ,44
JAPRES06DEL03,33,4.3,26.911927,75.797282,27.001927,75.887282,Meal ,scooter ,38
HYDRES16DEL02,34,4.9,17.440827,78.393391,17.460827,78.413391,Meal ,motorcycle ,22
KNPRES010DEL03,34,4.9,26.47775,80.351569,26.61775,80.491569,Buffet ,motorcycle ,19
AGRRES15DEL01,34,4.6,0.0,0.0,0.11,0.11,Meal ,motorcycle ,29
JAPRES20DEL02,35,4.5,26.956431,75.776649,27.006431,75.826649,Meal ,motorcycle ,29
COIMBRES20DEL03,28,5.0,10.994136,76.963303,11.054136,77.023303,Snack ,motorcycle ,22
PUNERES09DEL02,31,4.2,18.536562,73.896485,18.666562,74.026485,Snack ,motorcycle ,36
MUMRES01DEL02,24,4.7,19.12663,72.829976,19.20663,72.909976,Snack ,scooter ,27
MYSRES07DEL03,31,4.8,12.325461,76.632278,12.355461,76.662278,Meal ,motorcycle ,23
KNPRES02DEL02,33,4.9,26.471617,80.313564,26.491617,80.333564,Drinks ,electric_scooter ,19
RANCHIRES18DEL03,38,4.6,23.351489,85.324253,23.411489,85.384253,Snack ,motorcycle ,31
KOCRES19DEL03,23,4.2,-9.960846,76.293936,10.050846,76.383936,Meal ,motorcycle ,42
PUNERES11DEL03,22,4.6,18.533811,73.899315,18.593811,73.959315,Snack ,electric_scooter ,11
COIMBRES03DEL02,38,4.8,11.025083,77.015393,11.075083,77.065393,Buffet ,scooter ,18
VADRES02DEL02,33,4.5,0.0,0.0,0.02,0.02,Drinks ,scooter ,28
CHENRES09DEL01,36,4.8,13.044694,80.26147,13.054694,80.27147,Drinks ,motorcycle ,24
COIMBRES02DEL03,32,4.6,11.022477,76.995667,11.052477,77.025667,Meal ,motorcycle ,21
MUMRES06DEL01,37,4.9,19.055831,72.833984,19.065831,72.843984,Snack ,scooter ,21
COIMBRES03DEL03,31,4.8,11.025083,77.015393,11.055083,77.045393,Snack ,electric_scooter ,27
COIMBRES13DEL01,24,4.2,11.003669,76.976494,11.043669,77.016494,Buffet ,motorcycle ,33
RANCHIRES20DEL01,39,4.3,23.39925,85.390464,23.50925,85.500464,Drinks ,motorcycle ,39
DEHRES07DEL03,28,4.8,30.362686,78.06889,30.392686,78.09889,Snack ,motorcycle ,14
INDORES01DEL01,31,4.6,22.695207,75.866059,22.735207,75.906059,Buffet ,electric_scooter ,30
PUNERES06DEL03,34,4.9,18.546258,73.904337,18.576258,73.934337,Buffet ,motorcycle ,25
BANGRES08DEL01,22,5.0,12.906229,77.596791,12.916229,77.606791,Meal ,motorcycle ,18
PUNERES19DEL02,29,4.6,18.563934,73.915367,18.583935,73.935367,Snack ,motorcycle ,19
HYDRES04DEL01,22,4.8,17.411028,78.329645,17.421028,78.339645,Snack ,scooter ,10
PUNERES07DEL02,26,4.7,18.546947,73.900626,18.676947,74.030626,Buffet ,scooter ,20
BANGRES11DEL02,28,4.9,12.934365,77.616155,13.064365,77.746155,Drinks ,motorcycle ,38
MYSRES19DEL01,35,4.6,12.334022,76.618203,12.444022,76.728203,Buffet ,motorcycle ,30
SURRES15DEL03,21,4.7,21.160522,72.771477,21.190522,72.801477,Meal ,scooter ,25
INDORES010DEL01,30,4.1,22.75004,75.902847,22.76004,75.912847,Buffet ,motorcycle ,34
SURRES20DEL02,33,4.7,21.15276,72.778059,21.17276,72.798059,Drinks ,electric_scooter ,25
VADRES13DEL01,34,4.5,22.310237,73.158921,22.380237,73.228921,Drinks ,scooter ,30
VADRES09DEL02,21,4.7,0.0,0.0,0.13,0.13,Meal ,motorcycle ,26
BANGRES08DEL03,34,4.6,12.906229,77.596791,12.996229,77.686791,Buffet ,motorcycle ,42
COIMBRES02DEL03,25,4.7,11.022477,76.995667,11.082477,77.055667,Drinks ,motorcycle ,12
DEHRES14DEL03,21,4.9,30.319528,78.040267,30.409528,78.130267,Snack ,scooter ,16
JAPRES010DEL03,26,5.0,26.921411,75.793604,26.981411,75.853604,Buffet ,scooter ,29
MYSRES18DEL02,36,4.7,12.337928,76.617889,12.357928,76.637889,Snack ,scooter ,28
AGRRES16DEL03,33,4.7,0.0,0.0,0.06,0.06,Snack ,scooter ,28
MYSRES16DEL01,39,3.6,12.316967,76.603067,12.386967,76.673067,Snack ,scooter ,38
COIMBRES05DEL03,29,4.6,-11.022169,-76.999594,11.112169,77.089594,Snack ,motorcycle ,22
COIMBRES19DEL03,31,4.7,11.022298,76.998349,11.052298,77.028349,Drinks ,electric_scooter ,30
MYSRES12DEL01,32,5.0,12.284747,76.625861,12.324747,76.665861,Buffet ,scooter ,27
KOCRES06DEL02,35,4.8,9.982834,76.283268,10.002834,76.303268,Drinks ,motorcycle ,25
AURGRES06DEL02,23,4.9,19.874449,75.360232,20.004449,75.490232,Buffet ,electric_scooter ,38
VADRES02DEL03,20,4.6,0.0,0.0,0.09,0.09,Drinks ,motorcycle ,24
HYDRES02DEL01,33,4.1,17.41233,78.449654,17.45233,78.489654,Meal ,scooter ,39
LUDHRES15DEL03,38,4.1,30.899584,75.809346,30.959584,75.869346,Buffet ,motorcycle ,23
MYSRES18DEL02,29,4.3,12.337928,76.617889,12.417928,76.697889,Snack ,motorcycle ,38
HYDRES16DEL02,36,4.2,17.440827,78.393391,17.460827,78.413391,Drinks ,motorcycle ,32
COIMBRES03DEL03,33,4.8,11.025083,77.015393,11.085083,77.075393,Meal ,scooter ,25
PUNERES14DEL02,36,4.5,18.516216,73.842527,18.596216,73.922527,Drinks ,motorcycle ,27
VADRES02DEL01,39,4.6,0.0,0.0,0.07,0.07,Buffet ,motorcycle ,46
GOARES02DEL02,33,4.8,15.585658,73.743606,15.665658,73.823606,Meal ,electric_scooter ,25
INDORES010DEL03,31,4.7,22.75004,75.902847,22.78004,75.932847,Snack ,electric_scooter ,19
RANCHIRES20DEL03,28,4.9,23.39925,85.390464,23.48925,85.480464,Snack ,motorcycle ,18
LUDHRES18DEL01,24,4.4,30.890184,75.829615,30.900184,75.839615,Drinks ,motorcycle ,27
COIMBRES13DEL03,26,5.0,11.003669,76.976494,11.033669,77.006494,Buffet ,scooter ,20
RANCHIRES15DEL03,25,4.9,23.369746,85.33982,23.459746,85.42982,Meal ,scooter ,12
VADRES19DEL01,27,4.8,22.311844,73.165081,22.421844,73.275081,Drinks ,motorcycle ,33
PUNERES07DEL02,31,5.0,18.546947,73.900626,18.596947,73.950626,Drinks ,scooter ,28
INDORES16DEL01,20,5.0,22.744648,75.894377,22.854648,76.004377,Snack ,motorcycle ,44
MUMRES03DEL01,21,4.5,19.22384,72.841347,19.23384,72.851347,Buffet ,motorcycle ,18
DEHRES01DEL03,35,4.7,0.0,0.0,0.09,0.09,Drinks ,motorcycle ,44
BANGRES09DEL01,35,4.9,12.934179,77.615797,12.944179,77.625797,Meal ,motorcycle ,20
VADRES16DEL03,34,4.6,0.0,0.0,0.06,0.06,Snack ,motorcycle ,25
MYSRES18DEL03,21,4.8,12.337928,76.617889,12.397928,76.677889,Snack ,motorcycle ,14
JAPRES02DEL03,23,4.6,26.914142,75.805704,27.004142,75.895704,Drinks ,motorcycle ,30
INDORES19DEL03,32,4.5,22.745536,75.893106,22.775536,75.923106,Drinks ,motorcycle ,27
SURRES20DEL01,28,4.9,21.15276,72.778059,21.16276,72.788059,Meal ,motorcycle ,19
SURRES14DEL01,24,4.8,21.157729,72.768726,21.197729,72.808726,Drinks ,electric_scooter ,23
HYDRES17DEL02,35,4.1,17.451976,78.385883,17.471976,78.405883,Drinks ,motorcycle ,24
JAPRES03DEL01,25,4.8,26.913483,75.803139,26.923483,75.813139,Buffet ,motorcycle ,17
HYDRES07DEL01,33,5.0,17.424114,78.347554,17.464114,78.387554,Buffet ,scooter ,25
MUMRES12DEL01,31,4.7,19.207222,72.972281,19.277222,73.042281,Snack ,motorcycle ,23
MUMRES13DEL03,37,4.8,19.178321,72.834715,19.238321,72.894715,Snack ,scooter ,29
HYDRES20DEL01,29,4.9,17.483216,78.552111,17.553216,78.622111,Snack ,motorcycle ,39
JAPRES02DEL03,33,4.8,26.914142,75.805704,27.054142,75.945704,Meal ,motorcycle ,25
MYSRES12DEL02,27,4.9,12.284747,76.625861,12.334747,76.675861,Snack ,scooter ,15
JAPRES12DEL01,39,4.7,26.902908,75.792934,26.942908,75.832934,Snack ,motorcycle ,39
RANCHIRES07DEL02,34,3.8,23.359407,85.325055,23.489407,85.455055,Buffet ,scooter ,34
PUNERES02DEL01,27,4.6,18.55144,73.804855,18.62144,73.874855,Snack ,motorcycle ,15
CHENRES11DEL01,26,4.8,13.064181,80.236442,13.134181,80.306442,Drinks ,motorcycle ,18
MUMRES15DEL02,27,4.8,19.176269,72.836721,19.196269,72.856721,Snack ,scooter ,19
SURRES13DEL01,22,4.8,21.170096,72.789122,21.180096,72.799122,Meal ,electric_scooter ,19
MUMRES11DEL03,30,5.0,18.994237,72.825553,19.084237,72.915553,Snack ,motorcycle ,25
ALHRES20DEL02,34,4.9,25.454697,81.834492,25.474697,81.854492,Drinks ,motorcycle ,26
MYSRES03DEL02,31,4.5,12.299524,76.64262,12.379524,76.72262,Drinks ,scooter ,38
DEHRES19DEL01,29,4.3,30.372202,78.077151,30.412202,78.117151,Drinks ,motorcycle ,33
ALHRES17DEL01,38,3.6,25.45235,81.841889,25.56235,81.951889,Drinks ,motorcycle ,31
RANCHIRES18DEL03,30,4.9,23.351489,85.324253,23.441489,85.414253,Drinks ,motorcycle ,37
COIMBRES01DEL02,38,4.6,11.016298,76.972076,11.146298,77.102076,Buffet ,scooter ,24
VADRES11DEL02,35,4.1,22.308096,73.167753,22.388096,73.247753,Buffet ,motorcycle ,44
INDORES18DEL02,32,4.6,22.753839,75.897429,22.803839,75.947429,Buffet ,motorcycle ,30
VADRES11DEL01,27,5.0,22.308096,73.167753,22.418096,73.277753,Snack ,scooter ,23
BANGRES15DEL02,29,4.5,12.975377,77.696664,13.055377,77.776664,Snack ,scooter ,13
JAPRES12DEL01,35,4.6,26.902908,75.792934,27.012908,75.902934,Snack ,motorcycle ,47
MUMRES06DEL01,28,4.9,19.055831,72.833984,19.095831,72.873984,Snack ,motorcycle ,27
RANCHIRES18DEL01,27,4.7,23.351489,85.324253,23.391489,85.364253,Snack ,motorcycle ,21
PUNERES17DEL01,26,4.8,18.530963,73.828972,18.640963,73.938972,Drinks ,scooter ,35
MYSRES07DEL02,26,4.8,12.325461,76.632278,12.345461,76.652278,Meal ,scooter ,15
VADRES16DEL02,21,4.9,0.0,0.0,0.02,0.02,Drinks ,motorcycle ,18
SURRES11DEL02,22,4.6,21.157735,72.768778,21.287735,72.898778,Snack ,motorcycle ,38
COIMBRES16DEL02,31,4.4,11.010375,76.95295,11.060375,77.00295,Drinks ,electric_scooter ,33
MYSRES12DEL02,21,4.9,12.284747,76.625861,12.414747,76.755861,Drinks ,motorcycle ,16
MYSRES16DEL02,27,4.9,12.316967,76.603067,12.396967,76.683067,Buffet ,scooter ,13
JAPRES11DEL01,25,4.5,26.90294,75.793007,26.97294,75.863007,Snack ,scooter ,16
VADRES03DEL02,26,4.9,22.32,73.17,22.4,73.25,Snack ,scooter ,36
BANGRES02DEL01,37,4.9,12.970221,77.645396,13.010221,77.685396,Drinks ,motorcycle ,38
CHENRES18DEL01,34,4.3,12.981615,80.231598,13.051615,80.301598,Meal ,motorcycle ,38
INDORES02DEL02,33,4.5,22.651847,75.881991,22.671847,75.901991,Drinks ,motorcycle ,25
CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,30
